id,name,folder_name,where_we_left,0-15,15-30,30-45,45-60,60-75,75-90,90-105,105-120,Respect for Tissue,Hemostasis,Instrument Handling,Economy of Movement,Flow,Overall,Date of Rating
1dkDE0PqtrOjbBDKLWsRVogo38utw0vUl,cut_VID_20220105_13.42.41.mp4_8114.mp4,02010513-2,17.0,,,,,,,,,,,,,,,
1fgW4_o5bH38HsjsqCCq-GPQXY3caYP6H,cut_VID_20220106_10.18.46.mp4_1064.mp4,03010609-1,,,,,,,,,,,,,,,,
1hcwAVJzpLvdCzadsBlF1MlimNMqu_hPy,cut_VID_20220106_13.35.47.mp4_4242.mp4,04010613-2,,,,,,,,,,,,,,,,
1lePgE6m7fx7QMWupdWG8j7VqvF5lbkxl,cut_VID_20220107_15.31.48.mp4_8016.mp4,07010715-2,,,,,,,,,,,,,,,,
1QCzfdxXr3pDJkIijlHun8BBtwS7fMhyl,cut_VID_20220108_11.44.39.mp4_8320.mp4,10010811-2,,,,,,,,,,,,,,,,
1k2OH65yjTIwi_McQYu9peQosI6rVla6i,cut_VID_20220108_16.20.55.mp4_12758.mp4,11010815-1,,,,,,,,,,,,,,,,
1kTqn502RWUXC0MtWOoGS53LkbP9pGL-m,cut_VID_20220108_17.23.12.mp4_6936.mp4,12010817-2,,,,,,,,,,,,,,,,
1pn2C15YWQeiCXgZM0XKuPKfEb4Ooey2k,cut_VID_20220112_16.14.32.mp4_11012.mp4,25011215-2,,Very Good,Below Average,Poor,Below Average,Average,Very Poor,Below Average,Below Average,Good,Poor,Average,Below Average,Average,Average,2025-04-28 15:20:45
1nfYSqCd5OvsGZamdkUK2cvVCHV-PJ7KQ,cut_VID_20220113_19.18.38_2nd_trial.mp4_3866.mp4,29011319-3,,Very Poor,Below Average,Poor,Poor,Below Average,Below Average,Below Average,Poor,Average,Below Average,Below Average,Good,Excellent,Excellent,2025-04-28 16:07:36
1SHrdXTmvzBcbfCok8PcqLrdzd9dGvvld,cut_VID_20220115_14.22.48.mp4_2520.mp4,33011513-2,,Poor,Below Average,Below Average,Poor,Very Good,Excellent,Excellent,Excellent,Very Good,Very Good,Good,Excellent,Excellent,Excellent,2025-04-28 17:01:20
